,Lugar,Categoría,PUBLICACIÓN,ID Puesto
0,"São Paulo, Brasil","Product & Service Value Proposition Management (NEW), Software Engineering (NEW), Solution Application, Infrastructure & Data Architecture (NEW), Systems Infrastructure & Communication Platforms (NEW)",2022-03-09,Req0934931
1,"Sheffield, Reino Unido",Customer S&S: Remote (NEW),2022-02-16,Req0927008
2,"Milton Keynes, Reino Unido",Customer S&S: Remote (NEW),2022-01-20,Req0915544
3,"Bootle, Reino Unido",Customer S&S: Remote (NEW),2021-12-07,Req0900646
4,"Madrid, España","Project, Product Management",2022-03-10,Req0935337
5,"São Paulo, Brasil",Admin & Support (NEW),2022-03-10,Req0935302
6,"Itapipoca, Brasil",Customer S&S: F2F (NEW),2022-03-10,Req0935216
7,"Lublin, Polonia",Sales (NEW),2022-03-10,Req0935205
8,", Polonia",Customer S&S: F2F (NEW),2022-03-10,Req0935192
9,"Crateús, Brasil",Customer S&S: F2F (NEW),2022-03-10,Req0935209
10,"Ostrołęka, Polonia",Customer S&S: F2F (NEW),2022-03-10,Req0935174
11,"Głuchołazy, Polonia",Customer S&S: F2F (NEW),2022-03-10,Req0935179
12,", Polonia",Customer S&S: F2F (NEW),2022-03-10,Req0935190
13,"Boston, Estados Unidos",Customer S&S: F2F (NEW),2022-03-10,Req0934964
14,"Cuernavaca, México",Customer S&S: F2F (NEW),2022-03-09,Req0934747
15,"São Paulo, Brasil",Systems Infrastructure & Communication Platforms (NEW),2022-03-07,Req0933944
16,", Polonia",Business Development & Partnerships (NEW),2022-03-09,Req0933045
17,"Posnania, Polonia",Sales (NEW),2022-03-04,Req0932641
18,"Posnania, Polonia",Sales (NEW),2022-03-04,Req0932609
19,"Posnania, Polonia",Sales (NEW),2022-03-04,Req0932634
20,"Bradford, Reino Unido",Compliance (NEW),2022-03-04,Req0932381
21,"Santiago de Chile, Chile",Customer S&S: Remote (NEW),2022-03-03,Req0932343
22,"Nueva York, Estados Unidos","Solution Application, Infrastructure & Data Architecture (NEW)",2022-03-01,Req0931198
23,"Santiago de Chile, Chile",Credit Risk (NEW),2022-02-24,Req0929442
24,"Nueva York, Estados Unidos","Solution Application, Infrastructure & Data Architecture (NEW)",2022-02-23,Req0929246
25,"Boadilla del Monte, España","Digital Transformation, Digital",2022-02-22,Req0928409
26,"Palmas, Brasil",Customer S&S: F2F (NEW),2022-02-16,Req0926595
27,"Taubaté, Brasil",Customer S&S: F2F (NEW),2022-02-16,Req0926505
28,"Posnania, Polonia",Software Engineering (NEW),2022-02-11,Req0924797
